onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.066	FIXA	27.4	-140.7	27.4	-111.7	1.631	65.568	28.903	27.594
0.066	0.025	ISAC	25.3	-116.4	18.5	-140.1	1.392	130.203	39.448	68.082
0.091	0.398	PURS	18.5	-140.1	24.0	-80.5	3.370	66.098	6.586	11.582
0.490	0.091	SACC	24.0	-79.7	62.2	-83.4	2.158	95.736	18.016	28.396
0.581	0.199	FIXA	62.2	-83.5	64.4	-85.4	0.162	5.458	0.659	1.311
0.780	0.042	ISAC	64.4	-85.6	83.5	-86.1	1.072	38.361	29.784	26.175
0.822	0.282	FIXA	83.5	-86.1	78.6	-90.6	0.370	8.631	1.308	1.706
1.104	0.058	SACC	78.5	-90.7	22.1	-99.0	3.204	132.145	40.307	55.970
1.162	0.025	HPSO	21.7	-99.0	20.9	-95.2	0.217	25.530	4.430	10.988
1.187	0.091	FIXA	20.7	-91.2	22.9	-91.1	0.124	27.452	1.622	4.496
1.278	0.033	ISAC	22.9	-91.5	19.5	-91.6	0.190	22.863	1.438	6.485
1.312	0.083	FIXA	19.5	-92.0	20.5	-96.9	0.280	11.702	2.851	3.857
1.395	0.066	ISAC	20.5	-97.2	20.1	-92.3	0.279	35.009	1.635	11.733
1.461	0.025	ILPS	20.1	-92.3	20.3	-90.0	0.128	11.746	3.796	5.222
1.486	0.066	FIXA	20.5	-88.4	26.9	-88.3	0.359	48.113	1.277	8.457
1.552	0.066	SACC	26.7	-88.3	71.3	-92.3	2.520	127.823	32.455	41.947
1.619	0.042	FIXA	71.3	-92.3	71.4	-92.2	0.010	1.064	0.043	0.348
1.660	0.208	PURS	71.7	-92.2	63.2	-101.6	0.716	16.709	3.498	4.397
1.868	0.033	ISAC	64.0	-101.6	78.0	-95.2	0.870	91.681	17.642	32.117
1.901	0.125	FIXA	78.0	-95.2	79.2	-98.4	0.191	8.506	2.790	2.782
2.025	0.050	SACC	79.2	-98.7	3.8	-111.6	4.300	152.627	113.763	88.040
2.075	0.282	FIXA	3.8	-111.6	11.2	-112.1	0.412	12.264	1.503	2.838
2.358	0.058	SACC	11.2	-111.2	55.6	-114.0	2.506	94.258	46.941	44.288
2.416	0.407	FIXA	55.6	-114.0	49.9	-111.2	0.358	22.876	1.781	2.858
2.822	0.066	ISAC	49.1	-111.2	74.4	-111.7	1.425	58.098	19.032	22.420
2.889	0.199	FIXA	74.4	-111.7	74.3	-117.7	0.338	13.623	1.568	2.852
3.088	0.066	SACC	74.3	-117.9	35.9	-118.7	2.157	97.016	10.758	34.712
3.154	0.183	FIXA	36.1	-118.7	41.7	-116.8	0.331	5.899	2.814	2.859
3.337	0.075	SACC	42.4	-116.5	77.5	-116.7	1.972	83.830	5.706	28.592
3.412	0.232	FIXA	77.0	-116.1	77.8	-115.7	0.051	6.364	0.968	1.672
3.644	0.091	SACC	78.2	-116.5	34.6	-113.7	2.454	152.452	6.759	31.739
3.736	0.357	FIXA	34.6	-113.6	32.8	-115.1	0.133	9.014	1.542	1.924
4.092	0.042	SACC	34.2	-115.1	78.2	-112.3	2.477	88.180	77.419	62.376
4.134	0.174	FIXA	79.3	-112.3	79.3	-114.8	0.142	28.596	1.767	4.235
