onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.000	0.100	SACC	351.2	-12.8	-53.4	-63.8	22.941	382.277	288.568	235.639
0.100	0.025	LPSO	-53.4	-63.8	-50.2	-63.8	0.184	20.337	1.703	7.347
0.125	0.092	FIXA	-49.5	-67.4	-51.1	-64.6	0.178	24.241	3.268	5.988
0.217	0.200	PURS	-51.4	-64.1	-67.0	-90.1	1.705	131.918	3.056	13.380
0.492	0.284	FIXA	-96.5	-66.3	-104.7	-56.7	0.117	71.142	1.386	7.391
0.776	0.050	SACC	-104.7	-55.9	13.9	-28.1	6.850	241.712	158.570	141.016
0.826	0.183	FIXA	13.9	-28.1	16.0	-28.0	0.120	15.180	1.841	3.333
1.009	0.033	ISAC	16.1	-28.6	27.0	-60.9	1.918	184.116	24.892	59.422
1.043	0.083	FIXA	27.3	-60.9	17.0	-27.4	1.967	233.448	2.514	25.207
1.126	0.058	SACC	17.0	-27.0	-47.9	-99.5	5.471	307.744	49.441	102.809
1.184	0.017	HPSO	-47.9	-99.5	-44.5	-97.3	0.228	27.341	13.670	13.670
1.201	0.167	FIXA	-44.5	-97.3	-45.5	-94.5	0.172	12.884	2.976	3.210
1.368	0.225	PURS	-45.2	-94.4	-30.9	-99.5	0.858	52.127	1.331	4.970
1.593	0.050	ISAC	-30.9	-100.7	-78.7	-84.4	2.843	106.477	56.752	60.058
1.643	0.142	FIXA	-78.7	-84.4	-82.0	-79.2	0.345	28.275	6.986	9.646
1.785	0.058	SACC	-82.0	-81.8	47.4	-74.0	7.292	209.117	117.753	129.103
1.843	0.167	FIXA	47.4	-74.0	51.9	-78.3	0.351	32.007	4.393	8.109
2.010	0.075	SACC	52.9	-77.7	-64.0	-83.4	6.581	203.295	64.915	90.907
2.085	0.183	FIXA	-64.0	-83.4	-69.3	-77.1	0.461	48.820	4.192	7.926
2.269	0.058	SACC	-66.1	-80.9	54.4	-72.9	6.795	210.600	118.932	126.040
2.327	0.058	FIXA	54.4	-72.9	53.2	-60.9	0.675	24.945	14.912	12.704
2.385	0.209	PURS	53.2	-59.5	46.6	-89.8	1.742	92.683	5.747	12.264
2.594	0.075	SACC	42.1	-87.3	-73.9	-76.4	6.553	210.662	99.908	98.354
2.669	0.033	FIXA	-73.9	-76.2	-76.3	-76.2	0.134	18.162	1.931	5.506
2.702	0.150	SACC	-76.3	-80.1	295.9	-68.8	20.944	314.188	153.494	144.961
2.852	0.025	LPSO	295.9	-68.8	288.8	-51.2	1.068	84.964	46.139	43.701
2.877	0.042	FIXA	280.5	-41.3	265.7	-40.9	0.835	87.192	21.943	39.336
2.919	0.125	PURS	265.7	-38.7	270.3	-25.4	0.795	35.023	4.449	11.014
3.044	0.108	SACC	266.6	-26.1	-89.1	-73.3	20.183	339.714	250.237	190.863
3.153	0.259	FIXA	-89.1	-73.3	-84.6	-68.9	0.354	40.343	3.973	7.035
3.411	0.117	SACC	-87.2	-72.2	212.7	-61.8	16.884	264.332	175.770	151.784
3.528	0.025	HPSO	212.7	-61.8	229.8	-42.3	1.453	122.675	87.594	70.090
3.553	0.192	PURS	242.1	-36.2	251.8	-6.6	1.753	92.606	11.503	19.554
3.745	0.092	SACC	247.9	-6.6	-91.3	-81.3	19.541	454.881	244.724	219.756
3.837	0.225	FIXA	-91.3	-81.3	-85.9	-74.2	0.505	13.874	3.050	3.853
4.062	0.167	SACC	-85.9	-76.8	386.8	6.4	26.996	348.349	205.087	179.765
4.229	0.200	PURS	386.5	6.4	356.2	5.5	1.711	44.814	5.512	11.868
4.429	0.108	SACC	354.9	2.6	-81.6	-66.2	24.858	400.617	251.681	233.588
4.537	0.083	FIXA	-81.6	-66.2	-72.8	-71.6	0.582	27.751	5.191	8.007
4.621	0.167	PURS	-72.7	-71.7	-73.6	-89.7	1.013	61.274	1.711	7.950
4.979	0.042	FIXA	-128.1	-58.1	-130.4	-58.9	0.101	21.937	7.931	9.894
5.021	0.067	ISAC	-130.4	-60.9	-127.0	-60.7	0.190	53.386	8.105	14.291
5.088	0.117	FIXA	-126.9	-60.7	-126.1	-59.9	0.063	2.992	1.028	1.079
5.204	0.242	PURS	-126.1	-59.9	-123.5	-70.8	0.631	30.565	3.686	6.621
5.446	0.058	SACC	-123.5	-73.7	-39.6	-72.1	4.717	144.828	97.257	85.782
5.505	0.050	FIXA	-39.9	-72.1	-42.8	-74.2	0.207	11.727	4.829	5.450
5.555	0.133	PURS	-43.2	-74.2	-45.5	-79.4	0.322	21.486	2.816	4.782
5.688	0.250	FIXA	-45.5	-79.7	-38.8	-100.8	1.246	131.240	2.310	10.764
6.088	0.158	FIXA	347.9	-4.8	317.2	-16.7	0.640	145.710	5.418	13.830
6.247	0.092	SACC	314.3	-17.6	-56.9	-75.1	21.129	386.081	236.194	234.754
6.339	0.058	FIXA	-56.9	-75.1	-50.2	-79.2	0.441	27.606	5.462	9.549
6.397	0.125	PURS	-49.7	-79.1	-44.9	-75.5	0.334	7.296	2.902	3.113
6.522	0.067	FIXA	-44.9	-74.5	-50.7	-92.6	1.074	74.363	6.387	20.174
