onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
10.737	0.067	SACC	11.9	-67.8	-132.2	-74.1	8.114	220.379	151.590	127.220
10.804	0.168	FIXA	-132.2	-74.1	-124.9	-74.3	0.412	13.747	2.521	3.969
10.972	0.050	SACC	-123.5	-73.7	16.1	-76.4	7.850	273.396	195.508	167.537
11.023	0.025	HPSO	16.1	-74.0	18.9	-68.1	0.366	39.381	17.734	24.335
11.048	0.076	FIXA	18.9	-65.2	19.1	-64.6	0.037	19.560	0.754	2.856
11.123	0.269	PURS	19.8	-64.6	26.3	-58.9	0.484	9.972	1.501	2.719
11.392	0.084	SACC	26.3	-58.9	-132.1	-66.0	8.916	230.170	127.463	116.031
11.476	0.025	LPSO	-132.1	-66.0	-127.3	-68.4	0.303	20.893	19.327	13.406
11.501	0.277	PURS	-126.9	-67.0	-453.6	-97.7	18.457	322.089	9.535	72.012
11.854	0.092	FIXA	-472.3	-91.6	-463.2	-97.7	0.267	65.511	3.250	10.660
11.946	0.118	SACC	-463.2	-96.9	12.9	-69.1	26.826	521.903	193.912	233.269
12.064	0.025	HPSO	12.9	-69.1	11.4	-76.4	0.418	42.214	11.022	17.745
12.089	0.243	FIXA	10.8	-76.4	12.1	-78.6	0.142	35.115	2.386	3.927
12.332	0.042	ISAC	12.1	-77.9	11.0	-62.5	0.868	90.241	4.519	21.602
12.374	0.059	FIXA	11.3	-62.3	11.4	-61.3	0.053	5.351	1.209	1.653
12.433	0.084	SACC	11.7	-61.3	-113.4	-78.2	7.098	202.039	74.845	95.013
12.517	0.025	HPSO	-113.4	-78.2	-108.1	-77.1	0.307	20.562	16.885	12.482
12.542	0.218	FIXA	-106.3	-76.4	-103.4	-76.2	0.163	12.839	1.175	1.802
12.760	0.076	SACC	-103.1	-76.7	44.9	-77.3	8.325	227.127	104.412	115.311
12.836	0.025	HPSO	44.9	-77.3	41.1	-72.2	0.355	42.254	0.000	14.085
12.861	0.092	FIXA	41.1	-72.2	43.1	-73.8	0.141	27.463	1.191	6.150
12.953	0.076	SACC	43.3	-74.1	-118.1	-81.2	9.088	249.764	128.087	121.604
13.029	0.025	LPSO	-118.1	-79.9	-114.5	-78.4	0.219	21.467	8.665	11.715
13.054	0.067	FIXA	-111.7	-78.5	-109.6	-78.3	0.123	18.578	1.978	4.169
13.121	0.227	SACC	-109.6	-79.8	523.1	31.6	36.137	502.362	210.395	180.099
13.348	0.092	FIXA	523.1	31.0	521.7	27.8	0.199	17.808	4.437	7.030
13.440	0.126	SACC	522.1	27.8	-48.4	-78.2	32.639	533.559	285.028	264.066
13.566	0.025	HPSO	-48.1	-77.3	-44.7	-77.3	0.188	22.424	6.221	9.548
13.591	0.168	FIXA	-45.7	-69.6	-46.7	-67.3	0.139	52.212	0.979	4.500
13.759	0.193	PURS	-46.7	-67.3	-47.1	-73.2	0.333	11.853	0.384	2.032
13.952	0.067	ISAC	-47.2	-74.1	-52.7	-76.4	0.338	33.323	11.283	13.035
14.020	0.302	FIXA	-52.7	-76.4	-51.4	-75.8	0.084	34.401	1.587	3.845
14.322	0.059	SACC	-51.9	-75.8	28.1	-78.1	4.502	172.121	75.225	77.489
14.381	0.025	LPSO	28.1	-77.8	26.6	-75.8	0.136	11.656	6.814	6.986
14.406	0.067	FIXA	26.4	-75.7	26.2	-74.9	0.045	2.023	1.278	1.198
14.473	0.042	ISAC	26.3	-74.5	30.8	-72.4	0.281	29.915	2.249	7.332
14.515	0.084	FIXA	31.0	-72.4	71.3	-94.7	2.592	123.603	1.863	33.136
14.784	0.252	FIXA	21.3	-74.7	28.4	-65.1	0.670	51.932	1.754	5.044
15.035	0.252	SACC	29.9	-67.2	25.4	-79.9	0.757	294.110	160.282	159.626
15.287	0.025	LPSO	25.4	-80.9	27.7	-76.9	0.263	28.355	7.441	14.271
15.312	0.176	FIXA	30.6	-76.9	33.3	-75.5	0.173	19.253	2.507	3.667
15.489	0.042	ISAC	33.5	-74.8	33.5	-62.2	0.704	51.877	5.060	17.791
15.531	0.050	FIXA	33.5	-62.2	33.4	-62.9	0.039	9.533	1.054	2.926
15.581	0.134	SACC	33.1	-62.9	415.5	-58.4	21.510	292.045	184.867	163.197
15.715	0.025	HPSO	415.9	-58.4	405.1	-54.1	0.653	72.306	28.648	34.695
15.741	0.504	PURS	391.9	-55.7	13.9	-74.6	21.290	402.038	2.954	48.379
16.244	0.067	FIXA	13.9	-74.7	13.8	-75.1	0.026	2.775	0.986	1.084
16.311	0.067	ISAC	13.8	-75.7	48.1	-72.9	1.932	80.064	22.163	30.265
16.379	0.168	FIXA	48.1	-73.2	48.7	-75.9	0.155	5.233	0.665	1.386
16.546	0.143	SACC	49.0	-76.6	442.3	-38.2	22.231	255.576	169.797	158.788
16.689	0.025	HPSO	442.3	-38.2	438.6	-46.5	0.511	44.553	18.482	21.011
16.714	0.084	FIXA	437.5	-46.5	433.6	-46.0	0.222	33.505	3.660	8.566
16.798	0.109	SACC	431.6	-46.0	2.3	-77.5	24.213	381.751	252.274	224.582
16.907	0.025	LPSO	2.3	-77.5	6.8	-75.6	0.273	27.109	12.963	13.357
16.933	0.353	FIXA	9.9	-75.6	17.5	-74.8	0.433	20.990	2.329	3.164
17.285	0.050	SACC	18.2	-76.1	66.6	-87.1	2.790	121.025	56.991	57.864
17.336	0.025	HPSO	66.6	-87.1	64.6	-87.1	0.112	13.325	0.000	4.442
17.361	0.210	FIXA	65.8	-79.1	58.4	-79.2	0.415	54.275	2.467	6.883
17.772	0.067	FIXA	27.1	-59.4	13.4	-67.0	0.428	85.634	16.792	28.313
17.839	0.034	SACC	18.8	-67.0	68.3	-72.8	2.801	151.773	91.951	92.979
17.873	0.109	FIXA	68.3	-72.8	58.5	-69.4	0.581	27.082	4.260	7.220
17.982	0.210	SACC	58.5	-69.8	499.4	3.1	25.136	326.201	134.819	146.509
18.192	0.294	PURS	499.4	3.1	59.3	-70.6	25.098	445.991	6.461	90.595
18.486	0.059	ISAC	58.7	-71.2	33.8	-67.9	1.413	90.815	23.751	28.433
18.544	0.185	FIXA	33.8	-67.9	35.1	-66.1	0.122	4.446	0.517	1.229
18.729	0.176	PURS	34.8	-66.2	30.5	-72.3	0.420	11.637	2.101	2.872
18.905	0.336	FIXA	30.5	-72.3	30.2	-81.3	0.507	49.161	0.973	3.486
19.241	0.084	ISAC	30.9	-81.6	-1.4	-99.9	2.090	132.195	27.898	33.611
19.325	0.025	IHPS	-1.4	-100.0	-7.7	-106.7	0.516	46.048	31.755	26.241
19.376	0.050	ISAC	-13.7	-106.7	-11.0	-73.4	1.882	228.749	12.515	52.396
19.426	0.025	ILPS	-11.0	-73.4	-10.3	-71.0	0.139	16.568	0.000	5.523
19.451	0.059	FIXA	-6.3	-71.0	-1.6	-74.7	0.334	27.364	13.548	14.653
19.510	0.176	PURS	-2.0	-72.4	11.2	-84.0	0.990	38.853	4.088	8.631
