onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.025	0.059	SACC	12.1	-12.9	79.4	-51.0	4.349	189.746	67.972	86.147
0.084	0.193	FIXA	79.4	-51.0	71.1	-45.9	0.547	24.059	1.769	4.264
0.277	0.067	SACC	71.1	-43.8	-38.8	-10.2	6.462	219.979	109.250	103.381
0.344	0.168	FIXA	-38.8	-10.2	-36.5	-13.4	0.217	12.141	4.722	4.640
0.512	0.050	SACC	-36.2	-13.4	75.2	-40.1	6.447	245.486	145.108	132.310
0.562	0.227	PURS	75.2	-40.1	-52.6	-46.9	7.199	217.322	12.055	43.109
0.881	0.151	PURS	182.7	-75.8	341.8	-3.2	7.133	343.144	36.095	98.249
1.033	0.067	FIXA	341.8	-7.7	344.0	-8.9	0.139	30.252	3.931	7.257
1.100	0.092	SACC	342.6	-6.6	-65.9	-12.2	22.976	382.963	267.987	252.029
1.192	0.034	FIXA	-65.9	-15.0	-60.2	-16.3	0.329	27.517	14.020	15.863
1.226	0.176	PURS	-59.4	-15.7	6.9	-29.0	3.808	204.835	2.793	26.366
1.587	0.109	FIXA	565.0	64.6	557.1	65.7	0.226	60.557	26.157	25.070
1.696	0.126	SACC	557.1	63.4	-66.4	-25.3	35.430	518.650	300.700	285.386
1.822	0.185	FIXA	-66.4	-26.3	-58.2	-30.5	0.520	21.908	4.106	7.764
2.006	0.185	PURS	-58.1	-30.5	-22.8	-42.7	2.104	160.723	0.994	13.002
2.359	0.109	FIXA	502.9	64.1	502.0	57.9	0.281	41.094	6.654	12.963
2.468	0.118	SACC	499.0	57.9	-71.5	-63.7	32.810	447.206	291.705	285.291
2.586	0.193	FIXA	-71.5	-64.3	-56.4	-59.4	0.891	29.846	4.920	8.190
2.779	0.042	SACC	-58.1	-63.8	-110.8	-51.5	3.040	150.607	64.645	80.828
2.821	0.076	FIXA	-110.8	-51.5	-106.0	-52.8	0.277	15.980	1.885	5.168
2.896	0.034	ISAC	-106.1	-53.0	-102.1	-51.0	0.250	31.030	1.559	8.537
2.930	0.025	ILPS	-102.1	-51.0	-104.9	-53.2	0.197	19.810	4.786	8.199
2.955	0.042	FIXA	-107.2	-53.2	-106.1	-51.9	0.095	15.570	5.553	5.965
2.997	0.160	SACC	-104.9	-51.9	439.8	-3.2	30.763	306.897	225.207	200.528
3.157	0.025	LPSO	442.1	-3.7	451.1	-6.6	0.530	59.831	19.966	31.993
3.182	0.092	FIXA	455.4	-5.3	456.2	-9.8	0.260	30.371	3.361	9.156
3.274	0.118	SACC	455.2	-9.8	-81.5	-68.4	30.368	450.921	275.241	262.100
3.392	0.025	LPSO	-80.9	-68.4	-76.4	-74.3	0.415	34.070	16.602	18.346
3.417	0.193	FIXA	-76.4	-74.3	-72.9	-65.5	0.532	8.677	3.184	3.304
3.610	0.050	ISAC	-72.9	-65.3	-96.1	-57.8	1.374	85.984	12.146	28.128
3.660	0.025	ILPS	-96.1	-57.8	-94.3	-54.4	0.216	22.748	9.651	10.799
3.685	0.050	FIXA	-94.3	-54.4	-95.9	-56.9	0.166	9.846	3.242	3.631
3.736	0.134	SACC	-94.5	-56.9	344.7	-33.0	24.744	323.674	218.825	189.684
3.870	0.025	LPSO	344.7	-33.0	340.9	-32.8	0.212	25.162	1.309	8.824
3.895	0.050	FIXA	340.9	-32.8	339.6	-31.9	0.090	7.849	0.803	1.984
3.946	0.109	SACC	339.1	-31.9	-104.3	-52.7	24.969	438.742	285.096	235.260
4.055	0.025	LPSO	-104.3	-52.7	-99.5	-53.2	0.271	18.387	13.989	10.792
4.080	0.445	FIXA	-99.5	-53.2	-99.6	-63.4	0.576	10.877	1.935	2.377
4.525	0.076	SACC	-99.7	-64.0	23.1	-38.6	7.052	237.703	91.545	102.861
4.600	0.109	FIXA	23.1	-38.6	18.6	-38.7	0.251	8.151	4.340	3.495
4.710	0.101	SACC	18.1	-39.4	-117.8	-51.5	7.678	228.562	19.854	78.115
4.810	0.067	FIXA	-117.8	-51.5	-118.8	-50.9	0.061	7.038	1.031	1.822
4.877	0.118	PURS	-118.8	-50.9	-102.2	-84.4	2.099	158.515	4.988	22.035
5.146	0.277	SACC	-321.5	4.8	-31.2	-69.0	18.254	511.145	68.174	126.392
5.423	0.201	FIXA	-31.2	-69.0	-33.3	-69.8	0.125	16.524	1.423	2.253
5.625	0.017	ISAC	-33.7	-69.2	-36.8	-61.6	0.465	55.426	29.870	29.870
5.641	0.017	ILPS	-36.8	-60.6	-36.8	-58.0	0.144	17.118	11.937	11.937
5.658	0.042	FIXA	-36.8	-58.0	-36.3	-58.5	0.036	3.361	0.834	1.293
5.700	0.042	SACC	-35.9	-58.5	26.2	-47.4	3.547	158.719	131.572	91.320
5.742	0.025	LPSO	26.2	-47.4	27.4	-43.6	0.227	25.738	7.963	11.234
5.767	0.134	FIXA	27.4	-40.0	29.6	-39.8	0.122	23.963	1.469	2.995
5.902	0.092	SACC	29.6	-40.2	327.2	-33.3	16.745	425.400	192.889	191.619
5.994	0.059	FIXA	328.4	-33.3	325.8	-31.3	0.183	11.819	5.641	5.535
6.053	0.101	SACC	325.2	-31.5	13.0	-44.1	17.575	369.347	213.880	182.834
6.154	0.025	HPSO	13.0	-44.1	19.7	-60.9	1.019	121.416	0.000	40.472
6.179	0.076	FIXA	15.3	-35.4	14.9	-36.4	0.057	173.377	0.682	20.893
6.254	0.034	ISAC	15.0	-37.0	22.1	-50.3	0.842	50.777	25.163	26.305
6.288	0.034	FIXA	22.1	-50.3	20.1	-50.8	0.111	6.508	3.422	3.398
6.321	0.134	PURS	20.1	-50.8	21.5	-69.0	1.025	47.442	1.552	8.125
6.456	0.067	SACC	21.5	-69.4	-96.9	-70.4	6.663	249.120	97.377	100.276
6.523	0.025	HPSO	-96.9	-70.4	-94.8	-73.9	0.234	18.784	11.702	10.162
6.548	0.269	FIXA	-94.8	-73.9	-95.9	-77.6	0.217	10.117	0.917	2.073
6.817	0.176	PURS	-96.8	-77.6	-99.4	-74.6	0.217	6.952	1.177	2.051
6.993	0.126	FIXA	-99.4	-74.6	-98.5	-75.0	0.052	4.545	0.564	1.170
7.119	0.243	SACC	-99.4	-76.4	427.4	6.4	29.999	315.748	127.344	145.357
7.362	0.025	HPSO	427.4	8.1	395.7	10.7	1.789	170.116	45.653	75.629
7.388	0.260	PURS	341.6	-1.0	-49.5	-80.4	22.449	483.783	9.733	107.734
7.648	0.042	ISAC	-49.5	-80.5	-95.7	-69.2	2.677	98.571	81.201	66.187
7.690	0.092	FIXA	-95.7	-69.2	-96.3	-77.5	0.468	52.374	3.686	9.102
7.916	0.101	PURS	496.8	69.0	514.0	23.5	2.324	98.145	24.157	36.419
8.017	0.168	SACC	513.5	23.5	-79.9	-93.4	34.016	476.773	229.734	205.902
8.185	0.025	HPSO	-78.2	-93.4	-71.8	-96.4	0.400	33.020	17.086	20.469
8.210	0.160	FIXA	-71.8	-96.4	-69.6	-94.5	0.159	9.429	0.780	2.007
8.370	0.059	ISAC	-68.7	-94.5	-96.7	-71.4	2.043	134.329	14.850	39.506
8.429	0.025	ILPS	-96.7	-71.4	-95.0	-68.6	0.187	17.229	6.302	7.844
8.454	0.176	FIXA	-95.4	-68.6	-96.2	-68.9	0.048	4.987	1.254	1.883
8.630	0.176	SACC	-96.2	-68.9	372.8	7.1	26.726	349.390	156.861	161.845
8.806	0.025	HPSO	372.8	5.7	339.3	-18.8	2.337	188.416	90.264	96.122
8.831	0.462	PURS	307.7	-26.0	-68.8	-79.3	21.390	289.713	3.611	55.771
9.293	0.059	FIXA	-69.1	-79.4	-70.3	-77.8	0.113	8.733	1.117	2.365
9.352	0.067	ISAC	-70.3	-78.2	-98.1	-80.4	1.570	76.223	20.428	27.164
9.419	0.210	FIXA	-98.1	-80.4	-98.9	-83.9	0.201	6.514	0.433	1.274
9.629	0.025	ISAC	-98.7	-83.9	-99.1	-82.1	0.103	12.317	1.868	4.728
9.654	0.042	FIXA	-99.1	-82.1	-99.0	-81.5	0.030	3.129	0.694	1.067
9.696	0.067	ISAC	-99.0	-81.8	-112.9	-81.5	0.782	44.169	3.940	14.514
9.763	0.134	FIXA	-112.9	-81.5	-112.0	-77.1	0.251	25.299	0.603	2.587
9.898	0.285	SACC	-112.0	-75.7	-103.6	-66.8	0.688	275.446	183.939	172.033
10.183	0.025	HPSO	-103.6	-66.8	-104.3	-67.7	0.063	5.048	3.607	2.885
10.208	0.050	FIXA	-100.3	-67.7	-100.2	-71.1	0.191	27.006	7.319	9.499
10.259	0.193	PURS	-100.2	-72.2	-95.7	-75.5	0.314	20.957	3.039	4.207
10.452	0.067	SACC	-95.7	-75.8	18.6	-70.6	6.438	254.971	68.856	99.105
10.519	0.218	FIXA	18.6	-70.1	11.9	-67.0	0.415	16.541	1.562	3.129
