onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
25.267	0.250	FIXA	22.2	-63.4	27.6	-60.9	0.336	8.969	2.351	2.853
25.518	0.033	ISAC	27.6	-60.9	27.5	-64.8	0.220	25.412	0.676	6.691
25.551	0.392	FIXA	27.5	-64.9	25.4	-67.6	0.188	6.021	0.965	1.815
25.943	0.058	ISAC	25.5	-67.2	21.6	-56.3	0.650	36.278	11.222	14.196
26.002	0.317	FIXA	21.9	-56.3	25.7	-57.4	0.222	5.479	1.009	1.709
26.319	0.108	SACC	25.9	-57.6	229.5	-45.3	11.473	167.509	128.218	107.254
26.427	0.025	LPSO	229.5	-45.3	229.9	-45.9	0.041	4.049	2.681	2.244
26.452	0.033	FIXA	232.3	-45.2	231.7	-44.9	0.040	16.872	3.271	5.854
26.486	0.125	SACC	230.9	-44.2	9.2	-63.5	12.518	268.552	32.474	101.227
26.611	0.025	HPSO	9.2	-63.0	10.2	-59.6	0.201	23.153	4.822	10.514
26.636	0.117	FIXA	10.7	-59.6	13.5	-60.0	0.161	4.691	2.352	2.133
26.753	0.150	PURS	14.0	-60.5	17.4	-59.9	0.193	5.692	1.949	2.067
26.903	0.392	FIXA	17.6	-59.9	16.4	-64.0	0.241	11.289	1.220	2.022
27.295	0.017	ISAC	16.4	-63.1	12.6	-59.4	0.295	35.385	20.943	20.943
27.312	0.017	ILPS	12.4	-59.4	12.4	-62.5	0.176	21.130	11.410	11.410
27.329	0.083	FIXA	12.7	-63.1	16.5	-62.9	0.218	15.740	3.530	5.487
27.412	0.075	SACC	16.5	-63.3	144.5	-109.2	7.649	166.720	128.707	104.781
27.487	0.159	FIXA	144.5	-109.2	143.0	-105.4	0.233	8.614	1.166	1.885
27.646	0.092	SACC	143.6	-105.1	26.9	-53.0	7.187	191.678	45.324	82.683
27.737	0.108	FIXA	26.4	-53.0	28.2	-58.4	0.318	30.416	3.839	5.645
27.846	0.192	SACC	28.2	-61.2	460.3	-136.7	24.672	324.572	153.855	147.050
28.038	0.167	FIXA	460.3	-136.7	459.1	-123.9	0.727	45.035	1.868	8.239
